Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,Background
0.63 0.21,0.64 0.32,0.57 0.32,0.54 0.45,0.52 0.58,0.70 0.32,0.73 0.45,0.73 0.59,0.58 0.59,0.56 0.78,0.58 0.91,0.67 0.59,0.67 0.82,0.66 0.97,0.62 0.20,0.65 0.20,0.61 0.21,0.67 0.21
0.60 0.23,0.61 0.33,0.55 0.33,0.53 0.45,0.53 0.56,0.67 0.33,0.68 0.44,0.69 0.57,0.57 0.58,0.58 0.74,0.59 0.89,0.64 0.57,0.64 0.74,0.64 0.93,0.59 0.22,0.62 0.22,0.57 0.23,0.63 0.22
0.60 0.24,0.61 0.33,0.55 0.32,0.52 0.42,0.51 0.52,0.66 0.34,0.67 0.45,0.69 0.53,0.56 0.55,0.57 0.72,0.59 0.88,0.63 0.55,0.63 0.72,0.61 0.86,0.59 0.23,0.62 0.23,0.58 0.24,0.63 0.23
0.61 0.26,0.61 0.33,0.56 0.33,0.50 0.38,0.49 0.32,0.66 0.34,0.69 0.42,0.70 0.32,0.56 0.54,0.55 0.70,0.55 0.86,0.63 0.55,0.61 0.71,0.60 0.84,0.60 0.24,0.62 0.24,0.59 0.25,0.63 0.25
0.58 0.26,0.58 0.31,0.53 0.31,0.48 0.24,0.48 0.15,0.63 0.31,0.68 0.26,0.69 0.16,0.54 0.52,0.50 0.68,0.47 0.86,0.61 0.53,0.60 0.70,0.60 0.84,0.57 0.24,0.59 0.24,0.56 0.24,0.61 0.25
0.56 0.26,0.56 0.31,0.51 0.31,0.48 0.22,0.47 0.11,0.60 0.30,0.64 0.22,0.66 0.14,0.51 0.53,0.50 0.69,0.47 0.84,0.58 0.53,0.59 0.71,0.60 0.83,0.55 0.24,0.56 0.24,0.53 0.24,0.58 0.25
0.56 0.26,0.56 0.30,0.52 0.31,0.49 0.21,0.47 0.11,0.61 0.30,0.63 0.23,0.66 0.12,0.52 0.52,0.50 0.68,0.48 0.83,0.59 0.52,0.59 0.70,0.60 0.83,0.55 0.24,0.56 0.24,0.53 0.25,0.58 0.25
0.56 0.26,0.56 0.31,0.52 0.32,0.49 0.21,0.48 0.11,0.61 0.30,0.63 0.23,0.66 0.12,0.53 0.52,0.51 0.68,0.48 0.83,0.59 0.52,0.59 0.71,0.60 0.83,0.55 0.24,0.57 0.24,0.54 0.25,0.58 0.25
0.56 0.26,0.56 0.31,0.52 0.32,0.49 0.22,0.48 0.11,0.61 0.30,0.64 0.23,0.66 0.13,0.53 0.52,0.50 0.68,0.48 0.84,0.59 0.52,0.59 0.70,0.60 0.82,0.55 0.24,0.57 0.24,0.54 0.25,0.58 0.25
0.56 0.26,0.56 0.32,0.51 0.32,0.44 0.28,0.46 0.19,0.61 0.32,0.67 0.30,0.66 0.21,0.52 0.54,0.50 0.68,0.48 0.83,0.59 0.54,0.59 0.70,0.60 0.83,0.55 0.24,0.57 0.24,0.54 0.25,0.58 0.25
0.56 0.26,0.56 0.33,0.51 0.32,0.44 0.33,0.45 0.25,0.61 0.33,0.67 0.35,0.66 0.26,0.52 0.53,0.50 0.68,0.47 0.85,0.58 0.54,0.59 0.70,0.60 0.83,0.55 0.24,0.57 0.24,0.54 0.25,0.58 0.25
0.56 0.26,0.56 0.33,0.51 0.33,0.44 0.36,0.45 0.27,0.61 0.33,0.67 0.38,0.65 0.28,0.51 0.54,0.50 0.68,0.47 0.84,0.58 0.54,0.59 0.70,0.60 0.83,0.55 0.24,0.56 0.24,0.53 0.25,0.58 0.25
0.56 0.26,0.56 0.33,0.51 0.33,0.44 0.37,0.45 0.28,0.61 0.33,0.66 0.39,0.65 0.30,0.51 0.54,0.50 0.69,0.47 0.85,0.58 0.54,0.59 0.70,0.60 0.83,0.55 0.24,0.56 0.24,0.53 0.25,0.58 0.25
0.56 0.26,0.56 0.33,0.51 0.33,0.45 0.39,0.44 0.30,0.60 0.34,0.66 0.40,0.65 0.32,0.52 0.53,0.50 0.69,0.47 0.84,0.58 0.54,0.59 0.70,0.60 0.83,0.55 0.24,0.56 0.24,0.53 0.25,0.58 0.25
0.56 0.26,0.56 0.33,0.51 0.33,0.45 0.39,0.44 0.30,0.60 0.33,0.66 0.40,0.66 0.32,0.52 0.53,0.50 0.68,0.47 0.84,0.58 0.54,0.59 0.70,0.60 0.83,0.55 0.24,0.56 0.24,0.53 0.25,0.58 0.25
0.56 0.26,0.56 0.33,0.51 0.33,0.45 0.39,0.44 0.30,0.60 0.33,0.66 0.40,0.66 0.32,0.52 0.53,0.50 0.68,0.48 0.84,0.58 0.54,0.59 0.70,0.60 0.83,0.55 0.24,0.56 0.24,0.53 0.25,0.58 0.25
0.56 0.26,0.56 0.33,0.51 0.33,0.45 0.39,0.44 0.30,0.61 0.33,0.66 0.40,0.66 0.30,0.52 0.54,0.50 0.68,0.47 0.85,0.58 0.54,0.59 0.70,0.60 0.83,0.55 0.24,0.57 0.24,0.53 0.25,0.58 0.25
0.56 0.26,0.56 0.32,0.50 0.32,0.44 0.29,0.45 0.20,0.61 0.33,0.67 0.30,0.65 0.21,0.52 0.54,0.50 0.68,0.47 0.85,0.58 0.54,0.59 0.70,0.60 0.83,0.55 0.24,0.57 0.24,0.53 0.25,0.58 0.25
