Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,Background
0.57 0.22,0.58 0.32,0.52 0.32,0.48 0.45,0.48 0.57,0.65 0.32,0.68 0.44,0.69 0.57,0.54 0.58,0.52 0.78,0.54 0.91,0.63 0.58,0.62 0.79,0.60 0.96,0.56 0.20,0.59 0.20,0.55 0.21,0.61 0.21
0.56 0.24,0.56 0.33,0.50 0.33,0.44 0.40,0.43 0.42,0.62 0.32,0.67 0.42,0.69 0.41,0.52 0.57,0.53 0.73,0.54 0.86,0.60 0.57,0.60 0.73,0.59 0.91,0.55 0.23,0.57 0.23,0.53 0.24,0.59 0.23
0.57 0.24,0.57 0.32,0.52 0.32,0.44 0.33,0.44 0.23,0.62 0.33,0.69 0.34,0.69 0.25,0.53 0.55,0.54 0.72,0.54 0.86,0.60 0.55,0.60 0.71,0.58 0.84,0.56 0.23,0.58 0.23,0.55 0.24,0.60 0.24
0.57 0.26,0.58 0.31,0.53 0.31,0.46 0.26,0.47 0.16,0.62 0.30,0.68 0.26,0.69 0.15,0.53 0.53,0.50 0.69,0.49 0.83,0.60 0.54,0.59 0.70,0.58 0.83,0.56 0.24,0.59 0.24,0.55 0.24,0.60 0.24
0.55 0.26,0.55 0.31,0.50 0.30,0.47 0.23,0.45 0.13,0.60 0.30,0.64 0.24,0.66 0.15,0.51 0.53,0.49 0.69,0.45 0.85,0.58 0.53,0.59 0.71,0.59 0.84,0.54 0.24,0.56 0.24,0.53 0.24,0.57 0.25
0.54 0.26,0.54 0.30,0.50 0.31,0.46 0.22,0.44 0.12,0.59 0.30,0.63 0.23,0.66 0.15,0.50 0.53,0.48 0.69,0.45 0.84,0.57 0.53,0.59 0.71,0.59 0.83,0.53 0.24,0.55 0.24,0.51 0.25,0.56 0.25
0.55 0.26,0.55 0.31,0.50 0.31,0.46 0.22,0.44 0.12,0.59 0.30,0.63 0.24,0.66 0.16,0.50 0.54,0.49 0.69,0.45 0.84,0.57 0.54,0.58 0.71,0.59 0.83,0.54 0.24,0.56 0.24,0.52 0.25,0.56 0.24
0.55 0.26,0.54 0.32,0.50 0.32,0.44 0.24,0.44 0.15,0.59 0.32,0.65 0.27,0.66 0.17,0.50 0.54,0.48 0.68,0.45 0.84,0.57 0.54,0.58 0.71,0.59 0.83,0.54 0.24,0.56 0.24,0.52 0.25,0.57 0.25
0.54 0.26,0.54 0.33,0.50 0.32,0.42 0.32,0.42 0.23,0.59 0.33,0.66 0.34,0.65 0.24,0.50 0.54,0.48 0.69,0.45 0.84,0.57 0.54,0.58 0.71,0.59 0.83,0.53 0.24,0.55 0.24,0.52 0.26,0.56 0.26
0.54 0.26,0.54 0.33,0.49 0.33,0.42 0.36,0.41 0.27,0.59 0.33,0.65 0.37,0.65 0.28,0.50 0.54,0.49 0.69,0.45 0.85,0.57 0.54,0.58 0.71,0.59 0.83,0.53 0.25,0.55 0.25,0.52 0.26,0.56 0.26
0.54 0.26,0.54 0.33,0.49 0.33,0.42 0.38,0.42 0.29,0.59 0.33,0.64 0.40,0.65 0.31,0.50 0.54,0.49 0.69,0.45 0.84,0.57 0.54,0.58 0.71,0.59 0.83,0.53 0.25,0.55 0.25,0.51 0.26,0.56 0.26
